wavelength,melanopic,l_cone_opic,m_cone_opic,s_cone_opic,rhodopic,photopic
360,,,,,,0.0000039170000
361,,,,,,0.0000043935810
362,,,,,,0.0000049296040
363,,,,,,0.0000055321360
364,,,,,,0.0000062082450
365,,,,,,0.0000069650000
366,,,,,,0.0000078132190
367,,,,,,0.0000087673360
368,,,,,,0.0000098398440
369,,,,,,0.0000110432300
370,,,,,,0.0000123900000
371,,,,,,0.0000138864100
372,,,,,,0.0000155572800
373,,,,,,0.0000174429600
374,,,,,,0.0000195837500
375,,,,,,0.0000220200000
376,,,,,,0.0000248396500
377,,,,,,0.0000280412600
378,,,,,,0.0000315310400
379,,,,,,0.0000352152100
380,9.18165E-04,,,,5.89E-04,0.0000390000000
381,1.04557E-03,,,,6.65E-04,0.0000428264000
382,1.17858E-03,,,,7.52E-04,0.0000469146000
383,1.32279E-03,,,,8.54E-04,0.0000515896000
384,1.48381E-03,,,,9.72E-04,0.0000571764000
385,1.66724E-03,,,,1.108E-03,0.0000640000000
386,1.88102E-03,,,,1.268E-03,0.0000723442100
387,2.12989E-03,,,,1.453E-03,0.0000822122400
388,2.41457E-03,,,,1.668E-03,0.0000935081600
389,2.73583E-03,,,,1.918E-03,0.0001061361000
390,3.09442E-03,  4.07619E-04,  3.58227E-04,  6.14265E-03,2.209E-03,0.0001200000000
391,3.50706E-03,  4.97068E-04,  4.38660E-04,  7.44280E-03,2.547E-03,0.0001349840000
392,3.99078E-03,  6.04713E-04,  5.36230E-04,  9.01661E-03,2.939E-03,0.0001514920000
393,4.54679E-03,  7.33640E-04,  6.54061E-04,  1.09170E-02,3.394E-03,0.0001702080000
394,5.17625E-03,  8.87247E-04,  7.95649E-04,  1.32053E-02,3.921E-03,0.0001918160000
395,5.88035E-03,  1.06921E-03,  9.64828E-04,  1.59515E-02,4.53E-03,0.0002170000000
396,6.69334E-03,  1.28340E-03,  1.16572E-03,  1.92347E-02,5.24E-03,0.0002469067000
397,7.65102E-03,  1.53382E-03,  1.40263E-03,  2.31436E-02,6.05E-03,0.0002812400000
398,8.75694E-03,  1.82443E-03,  1.67992E-03,  2.77750E-02,6.98E-03,0.0003185200000
399,1.00146E-02,  2.15896E-03,  2.00180E-03,  3.32339E-02,8.06E-03,0.0003572667000
400,1.14277E-02,  2.54073E-03,  2.37208E-03,  3.96308E-02,9.29E-03,0.0003960000000
401,1.30767E-02,  2.97282E-03,  2.79433E-03,  4.70801E-02,1.070E-02,0.0004337147000
402,1.50397E-02,  3.45993E-03,  3.27374E-03,  5.57012E-02,1.231E-02,0.0004730240000
403,1.73166E-02,  4.00793E-03,  3.81660E-03,  6.56137E-02,1.413E-02,0.0005178760000
404,1.99071E-02,  4.62370E-03,  4.43021E-03,  7.69323E-02,1.619E-02,0.0005722187000
405,2.28112E-02,  5.31546E-03,  5.12316E-03,  8.97612E-02,1.852E-02,0.0006400000000
406,2.63194E-02,  6.09138E-03,  5.90458E-03,  1.04188E-01,2.113E-02,0.0007245600000
407,3.05964E-02,  6.95291E-03,  6.78005E-03,  1.20273E-01,2.405E-02,0.0008255000000
408,3.54538E-02,  7.89634E-03,  7.75260E-03,  1.38044E-01,2.730E-02,0.0009411600000
409,4.07028E-02,  8.91300E-03,  8.82286E-03,  1.57485E-01,3.089E-02,0.0010698800000
