timestamp,sensor,lux,kelvin,rgbR,rgbG,rgbB,rgbIR,movement,mEDI,R',G',B'
21-06-2023 00.00.12,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.00.27,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.00.42,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.00.57,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.01.12,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.01.27,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.01.42,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.01.57,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.02.12,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.02.27,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.02.42,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.02.57,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.03.12,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.03.27,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.03.42,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.03.57,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.04.12,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.04.27,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.04.42,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.04.57,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.05.12,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.05.27,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.05.42,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.05.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.06.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.06.28,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.06.43,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.06.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.07.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.07.28,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.07.43,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.07.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.08.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.08.28,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.08.43,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.08.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.09.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.09.28,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.09.43,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.09.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.10.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.10.28,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.10.43,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.10.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.11.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.11.28,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.11.43,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.11.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.12.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.12.28,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.12.43,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.12.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.13.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.13.28,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.13.43,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.13.58,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.14.13,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.14.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.14.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.14.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.15.14,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.15.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.15.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.15.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.16.14,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.16.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.16.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.16.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.17.14,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.17.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
