timestamp,sensor,lux,kelvin,rgbR,rgbG,rgbB,rgbIR,movement,mEDI,R',G',B'
21-06-2023 00.17.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.17.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.18.14,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.18.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.18.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.18.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.19.14,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.19.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.19.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.19.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.20.14,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.20.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.20.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.20.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.21.14,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.21.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.21.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.21.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.22.14,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.22.29,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.22.44,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.22.59,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.23.15,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.23.30,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.23.45,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.24.00,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.24.15,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.24.30,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.24.45,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.25.00,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.25.15,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.25.30,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.25.45,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.26.00,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.26.15,New Button,0,1391,0,0,0,0,4,0,0.0,0.0,0.0
21-06-2023 00.26.30,New Button,0,1391,0,0,0,0,1,0,0.0,0.0,0.0
21-06-2023 00.26.45,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.27.00,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.27.15,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.27.30,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.27.45,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.28.00,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.28.15,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.28.30,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.28.45,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.29.00,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.29.15,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.29.30,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.29.45,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.30.00,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.30.15,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.30.30,New Button,0,1391,0,0,0,0,1,0,0.0,0.0,0.0
21-06-2023 00.30.45,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.31.00,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.31.15,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.31.30,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.31.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.32.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.32.16,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.32.31,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.32.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.33.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.33.16,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.33.31,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.33.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.34.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.34.16,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.34.31,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.34.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.35.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.35.16,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.35.31,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.35.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.36.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.36.16,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.36.31,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.36.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.37.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.37.16,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.37.31,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.37.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.38.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.38.16,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.38.31,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.38.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.39.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.39.16,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.39.31,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.39.46,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.40.01,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.40.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.40.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.40.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.41.02,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.41.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.41.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.41.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.42.02,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.42.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.42.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.42.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.43.02,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.43.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.43.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.43.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.44.02,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.44.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.44.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.44.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.45.02,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.45.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.45.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.45.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.46.02,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.46.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.46.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.46.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.47.02,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.47.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.47.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.47.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.48.02,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.48.17,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.48.32,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.48.47,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.49.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.49.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.49.33,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.49.48,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.50.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.50.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.50.33,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.50.48,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.51.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.51.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.51.33,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.51.48,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.52.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.52.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.52.33,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.52.48,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.53.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.53.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.53.33,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.53.48,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.54.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.54.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.54.33,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.54.48,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.55.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.55.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.55.33,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.55.48,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.56.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.56.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.56.33,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.56.48,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.57.03,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.57.18,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.57.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.57.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.58.04,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.58.19,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.58.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.58.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.59.04,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.59.19,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.59.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 00.59.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.00.04,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.00.19,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.00.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.00.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.01.04,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.01.19,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.01.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.01.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.02.04,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.02.19,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.02.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.02.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.03.04,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.03.19,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.03.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.03.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.04.04,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.04.19,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.04.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.04.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.05.04,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.05.19,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.05.34,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.05.49,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.06.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.06.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.06.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.06.50,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.07.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.07.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.07.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.07.50,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.08.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.08.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.08.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.08.50,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.09.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.09.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.09.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.09.50,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.10.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.10.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.10.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.10.50,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.11.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.11.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.11.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.11.50,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.12.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.12.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.12.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.12.50,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.13.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.13.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.13.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.13.50,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.14.05,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.14.20,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.14.35,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.14.51,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.15.06,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.15.21,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
21-06-2023 01.15.36,New Button,0,1391,0,0,0,0,0,0,0.0,0.0,0.0
